url,brand,retailer,name,category,categoryDetail,color,colorDetail,occasions,why,fabric,details,price,img,id
https://labourunion-1986.com/collections/all-product/products/hbt-french-army-m47-cargo-trouser,Labour Union,Labour Union,,Trousers,M-47 cargo trousers,Green,Olive,hang; work,Herringbone cotton in the wide M-47 cut: roomy for a long day and fine on a plane.,,Your note: Love the color and the herringbone,,,
https://labourunion-1986.com/collections/all-product/products/hunting-jacket-hikcory-stripe,Labour Union,Labour Union,,Jackets & Coats,Seersucker hunting jacket,Blue,Hickory stripe seersucker,work; dance; hang,Light seersucker outerwear you can keep on for a dance and pack flat for a trip.,,Your note: I like the material and that it is light outerwear,,,
https://bronsonshop.com/collections/pants-trousers/products/lot-920-old-time-stripe-pants,Bronson,Bronson,,Trousers,Old-time stripe trousers,Brown,Brown stripe,hang; dressy,A vintage stripe that dresses up a plain shirt.,,Your note: Love the stripe. For the sizing would have to go a bit big and have the waist taken in.,,,
https://shop.morningwitch.com/products/amanita-mushroom-knit-sweater-read-the-whole-listing,Morning Witch,Morning Witch,,Knitwear,Mushroom knit sweater,Orange/Rust,Amanita orange,hang,A fun pattern for a day off.,,Your note: Just a fun pattern and color,,,
https://stitchspring.com/products/earth-kingdom-cardigan-preorder?variant=45641694052602,Stitch Spring,Stitch Spring,,Knitwear,Cable-knit cardigan,Green,Earth Kingdom green,hang,Cable knit in a good green; a weekend cardigan.,,Your note: Look this is some anime ass shit but everyone loves ATLA and I like the color and cable knit,,,
https://noahny.com/products/beaded-boat-shoe,Noah,Noah,,Shoes,Beaded boat shoe,Brown,Beaded,hang; work,Boat shoes travel well; the beads make them yours.,,Your note: Nice boat shoes but also have the fun beads,,,
https://www.nantucketreds.com/products/nr-mens-pleated-pants-reds?variant=170331242,Nantucket Reds,Murray's Toggery Shop,,Trousers,Double-pleated cotton trousers,Red,Nantucket Red,hang; work,"Relaxed, double-pleated canvas that fades with wear.",,"Your note: Classic color reminiscent of cape cod, relaxed fit and double pleats. No size chart though.",,,
https://www.buckmason.com/products/cement-yuma-hemp-rib-knit-pocket-tee,Buck Mason,Buck Mason,,Tees & Polos,Hemp rib-knit pocket tee,Grey,Cement,hang; dance; work,Hemp rib knit breathes and holds its shape; a tee for dancing or a travel day.,,Your note: I liked that it's both ribbed and knit with a ribbed hem,,,
https://scottfrasercollection.com/products/chartreuse-textured-loop-pocket-shirt?variant=46529014366462,Scott Fraser Collection,Scott Fraser Collection,,Shirts,Cropped textured camp shirt,Green,Chartreuse,dance; hang,"Textured, cropped and open at the collar: made for a warm dance floor.",,"Your note: Cropped camp color, love it",,,
https://nepenthesny.com/collections/cardigans/products/mohair-cardigan-olive-diamond,Needles,Nepenthes New York,,Knitwear,Mohair cardigan,Green,Olive diamond,hang; dressy,Mohair with a diamond pattern; soft enough for a night out.,,Your note: I mean look at it!,,,
https://www.olderbest.com/en-us/products/1950s-ribbed-striped-knit-t-shirt-white?option1=Green&option2=S,Older Best,Older Best,,Tees & Polos,1950s ribbed striped knit tee,White/Ivory,White with green stripe,hang; dance,A ribbed knit tee in cream with a stripe; light enough to dance in.,,"Your note: I like the stripe style in a knit shirt, with a cream color. I'm probably an L.",,,
https://scottfrasercollection.com/products/ivory-checker-chet-knit-t-shirt?variant=43992398790910,Scott Fraser Collection,Scott Fraser Collection,,Tees & Polos,Checker knit tee,White/Ivory,Ivory checker,hang; dressy,A knit tee with real texture; reads as more than a tee.,,Your note: Super cool texture,,,
https://www.stanray.com/products/k-pant-olive-rs-poplin-mix-25-1,Stan Ray,Stan Ray,,Trousers,K-pant fatigue trousers,Green,Olive poplin,dance; hang; work,Lightweight poplin fatigues with room to move.,,"Your note: If on sale and it actually fits, very cool pattern with a lightweight, possibly danceable fabric",,,
https://www.resipsausa.com/products/mens-kilim-loafer-size-177,Res Ipsa,Res Ipsa,,Shoes,Kilim loafer,Multi/Print,Kilim,dance; hang; dressy,"Loafers cut from a kilim rug, with a sole that might slide.",,"Your note: I mean, they're made of a rug. That's cool. They might even have danceable soles",,,
https://www.haspel.com/products/sherwood-green-seersucker-swimsuit?variant=41236585709671,Haspel,Haspel,,Shorts & Swim,Seersucker swim trunks,Green,Sherwood green,exercise; hang,"Seersucker trunks, mostly cotton, for the pool or the beach.",,"Your note: 25% cotton 25% poly, but seems like the best blend I've found. Doesn't have size guide.",,,
https://www.blacksmith-store.com/collections/blacksmith/products/blacksmith-tonal-cargo-pants-indigo-denim?variant=30988170788945,Blacksmith,Blacksmith,,Trousers,Tonal denim cargo trousers,Denim,Indigo,hang,Two-tone denim cargos for weekends.,,,,,
https://www.blacksmith-store.com/collections/blacksmith/products/blacksmith-patchwork-corduroy-shirt-green,Blacksmith,Blacksmith,,Shirts,Patchwork corduroy overshirt,Green,Two-tone green,hang; work,A corduroy overshirt to wear as light outerwear.,,"Your note: Thinking of this as an overshirt, but the collar is a little wimpy",,,
https://www.stanray.com/products/a-pant-aged-hickory-stripe-25-1,Stan Ray,Stan Ray,,Trousers,Hickory stripe painter pants,Blue,Aged hickory stripe,hang; dance; work,"High-waisted, wide-legged hickory stripe: cotton that moves.",,"Your note: When on sale and available in my size, these are great high waisted wide leg hickory pants",,,
https://akindofguise.com/products/rupini-wrap-pants-dark-avocado,A Kind of Guise,A Kind of Guise,,Trousers,Wrap trousers,Green,Dark avocado,dance; dressy,Open-weave wool with a wrap front: it flows when you move.,,"Your note: Cool, made of open weave wool, would be very flowy to dance in",,,
https://brut-clothing.com/products/the-territory-shirt,Brut Clothing,Brut Clothing,,Shirts,Map shirt,Multi/Print,USAF rayon maps,dance; hang; dressy,Rayon drapes and breathes; the maps are the conversation.,,Your note: Really cool shirt made from two actual (not reproduced) USAF rayon maps,,,
https://found.store/products/printed-mosaic-jeans,Found,Found,,Jeans,Printed mosaic jeans,Multi/Print,Mosaic print,dance; hang,Embroidered cotton jeans with some give.,,"Your note: Cotton embroidered pants, cool for dancing?",,,
https://www.stanray.com/products/wide-5-stonewashed-black-denim-aw25,Stan Ray,Stan Ray,,Jeans,Wide 5 jeans,Black,Stonewashed black,hang; work,A wide five-pocket jean in black; goes anywhere.,,"Your note: When they go on sale, also I like their off-white/cream color for when that's back in my size",,,
https://canterburyusa.com/products/canterbury-open-hem-stadium-pant?variant=43532835291287,Canterbury,Canterbury,,Trousers,Open-hem stadium pants,Black,,exercise; hang,Cotton-lined track pants with a leg zip; built for warming up.,,"Your note: Cotton lining, wide leg, zipper at the leg for easy removal",,,
https://standardandstrange.com/products/shakoor-pant-handwoven-midnight-teal-iron-black-canvas,Indi + Ash,Standard & Strange,,Trousers,Handwoven double-pleated trousers,Blue,Midnight teal / iron,dressy; work; dance,"Handwoven cotton, double pleats, a wide leg: suiting that moves.",,Your note: If they ever go on sale!,,,
http://standardandstrange.com/products/pleat-denim-trousers-indigo-linen-cotton-denim,Standard & Strange,Standard & Strange,,Jeans,Pleated linen-cotton denim trousers,Denim,Indigo,hang; work; dance,Linen-cotton denim is lighter than it looks and machine washable.,,Your note: out of stock but a machine washable 50-50 linen cotton jean!?,,,
https://nomanwalksalone.com/collections/jackets/products/wythe-fw25-ranch-jacket-in-rustic-brown-italian-wide-wale-donegal-corduroy,Wythe,No Man Walks Alone,,Jackets & Coats,Donegal corduroy ranch jacket,Brown,Rustic brown Donegal cord,work; dressy,Wide-wale Donegal cord in a ranch cut; a jacket for cool trips.,,Your note: Won't fit,,,
https://us.drakes.com/products/drakes-by-sebago-campsides-askook-patchwork-suede-shoe-1?variant=45898539565301,Drake's,Drake's,,Shoes,Camp moc with lug sole,Multi/Print,Askook patchwork suede,hang; work,A camp moc with a lug sole and patchwork suede; walks all day.,,Your note: Like the lug sole and the stitching around the apron,,,
https://standardandstrange.com/products/night-walker-jacket-shine-black,Standard & Strange,Standard & Strange,,Jackets & Coats,Night Walker jacket,Black,Shine black,hang; dressy,A black jacket with a shine for evenings.,,,,,
https://www.chamulaoriginal.com/products/sampler-squares-button-cardigan-grey,Chamula,Chamula,,Knitwear,Sampler squares cardigan,Grey,Grey with colour patches,hang; dressy,Hand-knit merino in colour patches; a statement cardigan.,,,,,
https://www.blueowl.us/collections/kaptain-sunshine/products/walk-easy-trouser-in-brown-herringbone?variant=41050835550266,Kaptain Sunshine,Blue Owl Workshop,,Trousers,Walk easy trousers,Brown,Brown herringbone,work; dressy,"Merino, alpaca and linen herringbone with an easy waist; travels well.",,"Your note: Looks so cozy, merino alpaca linen blend",,,
https://www.maharishistore.com/products/6201-rice-stitch-hanbok-hakama-pants-indigo,Maharishi,Maharishi,,Trousers,Rice-stitch hakama pants,Blue,Indigo,dance; hang,Hakama-cut cotton with a rice stitch; nothing binds when you move.,,,,,
https://www.maharishistore.com/products/6203-waffle-hakama-pants-olive,Maharishi,Maharishi,,Trousers,Waffle hakama pants,Green,Olive,dance; hang,Waffle cotton in a hakama cut; loose and airy.,,,,,
https://standardandstrange.com/products/wendy-trouser-indigo-gold,W'menswear,Standard & Strange,,Trousers,Wendy trousers,Denim,Indigo and gold,hang; dressy,Indigo denim shot with gold; a trouser with presence.,,Your note: These are womens and out of stock but they're cool,,,
https://nomanwalksalone.com/collections/bfcm2025/products/de-bonne-facture-fw25-raglan-sweater-in-green-hued-multicolor-norwegian-wool,De Bonne Facture,No Man Walks Alone,,Knitwear,Raglan sweater,Multi/Print,Green-hued multicolour Norwegian wool,hang; work; dressy,Norwegian wool in greens; warm enough for a winter trip.,,Your note: Extremely cool colors,,,
https://www.billyreid.com/collections/men/products/waxed-canvas-duffle-coat-rustic-brown,Billy Reid,Billy Reid,,Jackets & Coats,Waxed canvas duffle coat,Brown,Rustic brown,work; dressy,A waxed duffle coat that sheds rain and looks dressed.,,Your note: Cool rain coat option,,,
https://sonofastag.com/products/oni-222-nep-13-7oz-extra-wide-straight-leg-jean-one-wash?variant=55798893674873,ONI Denim,Son of a Stag,,Jeans,Extra-wide straight jeans,Denim,One wash,hang; work,Extra-wide straight leg in 13.7 oz nep denim.,,Your note: Size 32. I think these might be the jeans,,,
https://samuelzelig.com/products/film-pant,Samuel Zelig,Samuel Zelig,,Trousers,Embroidered film pants,Multi/Print,Film embroidery,hang; dressy,Embroidered trousers with a story; for going out.,,Your note: Pricey but one of the few embroidery pants that looks really cool. I like the film theme,,,
